Date,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Explosive Weight (max),Hospital Names,Temperature(C),Temperature(F),Year,Month,DayOfWeek,Cluster,Anomaly,Cluster_DBSCAN
,3 Raby` al-THaany 1423 A.H,Working Day,No Info,11:10:00 AM,Karachi,24.9918,66.9911,Sindh,US Consulate Civil Lines Area ,Foreign,High,Closed,None,Foreigner,Christian,0.0,12.0,0.0,51,1.0,0 Kg,Unknown,31.43,88.574,,,,2,1,0
,4 Jumaada al-awal 1424 A.H,Working Day,No Info,Unknown,Quetta,30.2095,67.0182,Baluchistan,Imambargah MeCongy Road Quetta,Religious,Medium,Closed,during Friday prayer,Religious,Shiite,44.0,47.0,0.0,65,1.0,0 Kg,"1.CMH Quetta 
2.Civil Hospital 3. Boland Medical Complex",33.12,91.616,,,,0,-1,-1
,2 Thw al-Qi`dah 1424 A.H.,Holiday,Christmas/birthday of Quaid-e-Azam,1:40:00 PM/1:42:00 PM,Rawalpindi,33.6058,73.0437,Punjab,Jhanda Chichi area rawalpindi ,Mobile,Low,Open,president's/chief of army staff convoy passing from there,Military,None,16.0,18.0,0.0,50,2.0,30kg in each car,"1.District headquarters 
Hospital ",9.445,49.001,,,,2,1,-1
,8 MuHarram 1425 A.H,Working Day,No Info,Unknown,Rawalpindi,33.6058,73.0437,Punjab,Yadgar-i-Hussaini in Satellite Town,Religious,Medium,Closed,maghrib prayer was in process,Religious,shiite,0.0,1.0,3.0,4,1.0,0 Kg,Unknown,15.275,59.495,,,,2,1,1
2004-05-07,18 Raby` al-awal 1425 A.H,Working Day,No Info,1:20:00/1:17:00 PM,Karachi ,24.9918,66.9911,Sindh,Karachi Shia mosque Sindh Madrassatul Islam,Religious,Medium,Closed,Friday prayer was in progress,Religious,shiite,14.0,15.0,96.0,200,1.0,2kg,Civil hospital ,33.86,92.948,2004.0,5.0,Friday,1,-1,-1
2004-05-31,Unknown,Working Day,No Info,evening,Karachi ,24.9918,66.9911,Sindh,Imambargah off M.A Jinnah road near Numaish intersection,Religious,Medium,Closed,None,Religious,Shiite,16.0,18.0,0.0,35,1.0,0 Kg,Civil hospital-Liaquat National hospital-Jinnah Postgraduate Medical Center,31.605,88.889,2004.0,5.0,Monday,2,-1,-1
,15 Raby` al-THaany 1425 A.H,Working Day,No Info,Unknown,North waziristan,32.9746,70.1456,FATA,checkpost in north waziristan-close to Afghanistan border,Military,High,Open,None,Military,None,0.0,2.0,0.0,2,1.0,0 Kg,Unknown,27.18,80.924,,,,2,1,2
,11 Jumaada al-THaany 1425 A.H,Working Day,No Info,8:50:PM,Kohat,33.5833,71.4333,KPK,Near military facility/official Residence of General Officer Commanding,Residence,High,Closed,Army,Military,None,2.0,3.0,0.0,3,2.0,0 Kg,CMH Kohat,32.43,90.374,,,,2,1,3
,13 Jumaada al-THaany 1425 A.H,Working Day,No Info,7:20 PM,Attock ,33.7645,72.3667,Punjab, Mr Aziz election rally in jaffar village in fateh jang,Park/Ground,Low,Open,Election rally ,Government Official,None,0.0,7.0,44.0,70,1.0,0 Kg,1.District Headquarters hospital-rwp 2.PIMS Hospital 3. Tehsil headquarters hospital-Fateh Jang,26.665,79.997,,,,4,1,-1
,17 SHa`baan 1425 A.H,Working Day,No Info,1:27 PM/1:25 PM,Sialkot,32.4972,74.5361,Punjab,zainabia mosque-just a Km away from city police station on Raja road,Religious,Medium,Closed,Friday prayer,Religious,shiite,25.0,31.0,50.0,75,1.0,0 Kg,Allama Iqbal Memorial DHQ Hospital-Sardar Begum Hospital-and numner of other hospitals in Sialkot-Daska-Gujranwala and Lahore,27.51,81.518,,,,4,-1,-1
,26 SHa`baan 1425 A.H.,Holiday,Weekend,5:55:00/6:40:00 PM,Lahore ,31.5451,74.3407,Punjab,Jamia Masjid Kashmirian in Mochi Gate,Religious,Medium,Closed,Jamia Masjid /Shia Mosque,Religious,shiite,4.0,5.0,6.0,10,1.0,0 Kg,Mayo Hospital ,24.39,75.902,,,,2,1,-1
,9 safar 1426 A.H,Working Day,No Info,11.45PM /10.30 pm,Quetta,30.2095,67.0182,Baluchistan,Gandava Town Shrine,Religious,Medium,Closed,Urs Ceremony,Religious,Shiite,25.0,50.0,8.0,100,1.0,0 Kg,Unknown,16.5,61.7,,,,2,1,-1
,19 Raby` al-awal 1426 A.H,Working Day,No Info,Unknown,Swat,35.2227,72.4258,KPK,Baidara village of Matta-District Swat ,Park/Ground,Low,Open,None,civilian,None,0.0,2.0,0.0,0,1.0,0 Kg,Unknown,19.935,67.883,,,,2,1,4
2005-05-27,19 Raby` al-THaany 1426 A.H,Working Day,No Info,11:00:00 AM,Islamabad,33.718,73.0718,Capital,Shrine of Bari Imam,Religious,Medium,Closed,"Shia Muslim Annual 
Congregation ",Civilian,Shiite/sunni,20.0,25.0,82.0,100,1.0,0 Kg,1. PIMS 2.Polyclinic 3.CDA Hospital 4.federal govt services 5.rwp generl hosp,27.16,80.888,2005.0,5.0,Friday,1,1,-1
2005-05-30,22 Raby` al-THaany 1426 A.H,Working Day,No Info,evening,Karachi ,24.9918,66.9911,Sindh,Courtyard of an Imambargah(Madinatul Ilm ) in Gulshan e Iqbal ,Religious,Medium,Closed,evening prayer,Religious,shiite,5.0,6.0,19.0,30,1.0,0 Kg,1. Patel Hospital 2. JMPC,31.945,89.501,2005.0,5.0,Monday,2,1,-1
,10 MuHarram 1427 A.H,Holiday,Ashura,9:35:00 AM,Hangu,33.5351,71.0713,KPK,Hangu-Tall road-Ashura Procession,Park/Ground,Low,Open,Ashura Day,Religious,Shiite,37.0,40.0,90.0,0,1.0,0 Kg,Hangu Hospital ,15.495,59.891,,,,1,1,-1
,2 safar 1427 A.H.,Working Day,No Info,9:00:00 AM,Karachi,24.9918,66.9911,Sindh,Infront of USA consulate near marriott hotel,Hotel,Medium,Open,Terrorists attacked convoy of david foy-american diplomat.,Foreigner,Christian,4.0,5.0,30.0,54,1.0,10-15 kg,Unknown,25.3,77.54,,,,4,1,-1
,14 Raby` al-awal 1427 A.H,Holiday,Eid Milad un-Nabi,7.00 pm,Karachi ,24.9918,66.9911,Sindh,Nishter Park ,Park/Ground,Medium,Open,Eid Miladun Nabi,Religious,Sunni,47.0,57.0,0.0,100,1.0,5 kg,1. Liaquat National Hospital 2. Civil Hospital KHI 3. JPMC 4. Abbasi Shaheed Hospital,28.415,83.147,,,,0,-1,-1
,6 Jumaada al-awal 1427 A.H,Working Day,No Info,10.30 am,Bannu,32.9861,70.6042,KPK,Bakkahel Area of FR Bannu,Mobile,High,Open,Army convoy ,Military,None,6.0,7.0,7.0,8,1.0,0 Kg,1. Combined Military 2. Hospital Peshawar,26.125,79.025,,,,2,1,-1
,30 Jumaada al-awal 1427 A.H,Working Day,No Info,3:30:00 PM,North Waziristan,32.9746,70.1456,FATA,"Aisha Checkpoint-10km East of 
Miranshah",Military,High,Open,None,Military,None,6.0,7.0,0.0,26,1.0,0 Kg,Unknown,28.61,83.498,,,,2,1,-1
,12 Rajab 1427 A.H,Holiday,Weekend,8.00 am,Lasbela,25.8377,66.5224,Baluchistan,"Zehri Street-Main Market
Hub",Market,Low,Open,None,Civilian,None,0.0,1.0,0.0,0,1.0,0 Kg,Unknown,27.5,81.5,,,,2,-1,-1
,17 SHawwal 1427 A.H,Working Day,No Info,8.30am,Malakand ,34.503,71.9046,KPK,Dargai Military Base-100km north of Peshawar,Military,High,Open,Recruits parade,Military,None,40.0,42.0,20.0,39,1.0,0 Kg,"1. CMH Mardan
2. CMH Peshawar",19.205,66.569,,,,0,1,-1
,26 SHawwal 1427 A.H.,Working Day,No Info,7.30 am/7:15AM,Peshawar,34.0043,71.5448,KPK,"Fayaz Khalil Shaheed
Chowk",Mobile,High,Open,police van,Police,None,0.0,1.0,0.0,2,1.0,0 Kg,Unknown,17.275,63.095,,,,2,1,5
,12 Thw al-Qi`dah 1427 A.H.,Holiday,Weekend,Unknown,Bannu,32.9861,70.6042,KPK,Speen Tangi-kohat bannu road,Police,High,Open,None,Police,None,0.0,1.0,0.0,1,1.0,0 Kg,Unknown,4.705,40.469,,,,2,1,2
,3 MuHarram 1428 A.H,Working Day,No Info,10:30:00 AM,North Waziristan,32.9746,70.1456,FATA,"Miltary convoy near Mir ali north
Wazirstan ",Mobile,High,Open,Military convoy,Military,None,4.0,5.0,23.0,25,1.0,0 Kg,Unknown,2.325,36.185,,,,4,1,-1
,7 MuHarram 1428 A.H,Working Day,No Info,2:37:00 PM,Islamabad,33.718,73.0718,Capital,Islamabad Marriott Hotal ,Hotel,Medium,Closed,Indian High Commission Function,Foreigner,None,1.0,2.0,5.0,7,1.0,0 Kg,1.poly Clinic Hospital ,16.3,61.34,,,,2,1,-1
,8 MuHarram 1428 A.H,Working Day,No Info,8:40:00 PM,Peshawar ,34.0043,71.5448,KPK,near Mosque in QissaKhawani Bazaar,Religious,Medium,Closed,Muharram procession about to start,Civilian,shiite,13.0,15.0,30.0,60,1.0,0 Kg,1.Lady Reading hospital ,15.165,59.297,,,,4,1,-1
,10 MuHarram 1428 A.H,Holiday,Ashura,Unknown,D.I Khan ,31.8238,70.9095,KPK,Checkpost Dera Ismial Khan ,Police,High,Open,Muharram procession,Civilian,shiite,2.0,3.0,0.0,7,1.0,0 Kg,"1.DIK Headquarters 
Hospital ",17.745,63.941,,,,2,1,-1
,15 MuHarram 1428 A.H.,Working Day,No Info,6:17:00 AM,Lakki Marwat,32.6018,70.9148,KPK,"Ghazanikhel Market 
Laik marwat",Market,Low,Open,None,Civilian,None,0.0,1.0,0.0,0,1.0,0 Kg,Unknown,17.52,63.536,,,,2,1,2
,15 MuHarram 1428 A.H.,Working Day,No Info,12:15:00 PM,Tank,31.8238,70.9095,KPK,Military Convoy Barakhel area-tank,Mobile,High,Open,Military convoy,Military,None,0.0,2.0,7.0,8,1.0,0 Kg,1.CMH  Dera,19.935,67.883,,,,2,1,-1
,18 MuHarram 1428 A.H.,Working Day,No Info,8:50:00 PM/9:10 PM,Islamabad ,33.718,73.0718,Capital,Islamabad Airport ,Airport,High,Open,None,Civilian,None,0.0,1.0,3.0,10,1.0,0 Kg,Unknown,16.635,61.943,,,,2,1,1
,29 MuHarram 1428 A.H,Working Day,No Info,11:05:00 AM,Quetta ,30.2095,67.0182,Baluchistan,"Quetta District court senior civil
 judge District Court",Government,High,Closed,None,Civilian,None,16.0,17.0,30.0,35,1.0,0 Kg,"1.Quttea Civil hospital 
2.Bolan medical hospital ",8.72,47.696,,,,4,1,-1
,10 Raby` al-awal 1428 A.H,Working Day,No Info,11:45 AM,Gujrat,32.5737,74.0786,Punjab,"Army training area guliana 
near Kharian Contonment",Military,High,Open,None,Military,None,1.0,2.0,6.0,8,1.0,0 Kg,"1.Combined Military
 Hospital ",25.595,78.071,,,,2,1,-1
,11 Raby` al-THaany 1428 A.H.,Working Day,No Info,6:55 PM,Charsadda,34.1509,71.7359,KPK,"Federal Interior Minister Speech 
rallyy hometown Charsadda",Park/Ground,Low,Open,Rally Charsadda ,Government Official,None,25.0,35.0,29.0,60,1.0,0 Kg,"1.District Headquarters Hospital
 2.Lady Reading Hospital ",28.055,82.499,,,,4,1,-1
2007-05-15,28 Raby` al-THaany 1428 A.H,Working Day,No Info,12:55:00 PM,Peshawar ,34.0043,71.5448,KPK,Peshawar Hotel ,Hotel,Medium,Closed,None,Foreigner,Sunni,22.0,26.0,12.0,35,1.0,0 Kg,1.Lady Reading Hospital ,31.1,87.98,2007.0,5.0,Tuesday,2,1,-1
2007-05-28,11 Jumaada al-awal 1428 A.H,Working Day,No Info,About 12pm,Tank ,32.226,70.3761,KPK,Boltonabad aera,Mobile,High,Open,rammed the vehicle into FC vehicle,Military,None,0.0,3.0,0.0,2,1.0,0 Kg,Unknown,24.935,76.883,2007.0,5.0,Monday,2,1,-1
,19 Jumaada al-THaany 1428 A.H,Working Day,No Info,10:25am,North Waziristan,32.9746,70.1456,FATA,Miltary convoy in bannu Gurbaz area,Mobile,High,Open,Military convoy,Military,None,8.0,10.0,9.0,12,1.0,0 Kg,1.CMH Peshawar,26.975,80.555,,,,2,1,-1
,27 Jumaada al-THaany 1428 A.H,Working Day,No Info,Unknown,Swat ,35.2227,72.4258,KPK,Security Force convoy in mingora,Mobile,High,Open,Military convoy,Military,None,6.0,7.0,4.0,8,1.0,0 Kg,"1.Agency Headquarters 
hospital ",31.74,89.132,,,,2,1,-1
,27 Jumaada al-THaany 1428 A.H,Working Day,No Info,4:30:00 PM,North Waziristan,32.9746,70.1456,FATA,Political Agent Office in Miranshah,Government,High,Closed,None,Government official,None,2.0,4.0,0.0,3,1.0,0 Kg,Unknown,31.39,88.502,,,,2,1,-1
,29 Jumaada al-THaany 1428 A.H,Working Day,No Info,2:00:00 PM,North Waziristan,32.9746,70.1456,FATA,Razmak towns Daznaray area-20kms to the north of Miramshah,Mobile,High,Open,Frontier Constabulary convoy,Military,None,23.0,24.0,26.0,29,1.0,0 Kg,1.CMH Bannu hospital,26.02,78.836,,,,4,1,-1
,1 Rajab 1428 A.H,Holiday,Weekend,3:30 PM-4:00:00 PM/4:15PM,D.I Khan,31.8238,70.9095,KPK,police recruitment center,Police,High,Closed,recruitment process in progress,Police,None,25.0,30.0,50.0,61,1.0,0 Kg,"1.District Headquarters 
Hospital ",28.82,83.876,,,,4,1,-1
,1 Rajab 1428 A.H,Holiday,Weekend,between 7:00-7:40 AM,Swat ,35.2227,72.4258,KPK,Matta,Mobile,High,Open,police bus going from Kabal to Matta,Police,None,17.0,20.0,40.0,47,1.0,0 Kg,Unknown,27.255,81.059,,,,4,1,-1
,3 Rajab 1428 A.H,Working Day,No Info,8:27:00 AM,Islamabad ,33.718,73.0718,Capital,outside the venue of distric bar convention council Islamabad ,Government,High,Open,Chief Justice Iftikhar muhammad ch had to address overthere,Government official,None,16.0,17.0,50.0,70,1.0,0 Kg,1.Fedral govt services hospital 2.PIMS,28.875,83.975,,,,4,1,-1
,3 Rajab 1428 A.H,Working Day,No Info,1:30:00 PM,North Waziristan,32.9746,70.1456,FATA,"Security check post Miramshah 
North Wazirstan ",Military,High,Open,None,Military,None,0.0,4.0,2.0,3,1.0,0 Kg,1.CMH Bannu hospital,26.945,80.501,,,,2,1,6
,5 Rajab 1428 A.H,Working Day,No Info,8:40:00 AM,Lasbela,25.8377,66.5224,Baluchistan,Industrial town hub baluchistan ,Mobile,High,Open,chinese engineers were going from Karachi to Hub,Foreigner,Christian,28.0,30.0,28.0,50,1.0,0 Kg,Unknown,32.395,90.311,,,,4,-1,-1
,5 Rajab 1428 A.H,Working Day,No Info,7:50:00 AM,Hangu,33.5351,71.0713,KPK,Training Center in Hangu,Police,High,Closed,None,Police,None,6.0,8.0,30.0,35,1.0,0 Kg,Unknown,30.735,87.323,,,,4,1,-1
,5 Rajab 1428 A.H,Working Day,No Info,Unknown,Kohat ,33.5833,71.4333,KPK,Kohat Mosque ,Religious,Medium,Closed,None,Religious,Sunni,15.0,20.0,8.0,58,1.0,0 Kg,CMH kohat,30.275,86.495,,,,2,1,-1
,6 Rajab 1428 A.H,Working Day,No Info,12:30:00 PM/11:00AM,North Waziristan,32.9746,70.1456,FATA,"Security check post Miramshah 
North Wazirstan ",Military,High,Open,None,Military,None,0.0,4.0,5.0,6,1.0,0 Kg,Unknown,28.375,83.075,,,,2,1,-1
,13 Rajab 1428 A.H,Working Day,No Info,5:25 PM,Islamabad ,33.718,73.0718,Capital,near Hotel in Abpara market,Hotel,Medium,Closed,None,Police,None,14.0,15.0,50.0,70,1.0,0 Kg,"1.Federal Government
 services hospital
2.Capital Development 
Authority hospital ",26.39,79.502,,,,4,1,-1
,20 Rajab 1428 A.H.,Working Day,No Info,Night,Swat ,35.2227,72.4258,KPK,District Swat gora village matta,Mobile,Low,Open,None,civilian,None,0.0,2.0,5.0,6,1.0,0 Kg,Unknown,28.01,82.418,,,,2,1,-1
,21 Rajab 1428 A.H,Working Day,No Info,10:30am,Kuram Agency ,32.9746,70.1456,FATA,Parachinar,Transport,Low,Open,None,civilian,Sunni,9.0,23.0,35.0,43,1.0,0 Kg,"1.Agency Headqurters 
Hospital ",25.835,78.503,,,,4,1,-1
,4 SHa`baan 1428 A.H,Working Day,No Info,Unknown,Tank,32.226,70.3761,KPK, Military Convoys in Tank district,Mobile,High,Open,None,Military,None,0.0,15.253138075313808,3.0,5,1.0,0 Kg,Unknown,26.185,79.133,,,,2,1,-1
,6 SHa`baan 1428 A.H,Holiday,Weekend,Unknown,North Waziristan,32.9746,70.1456,FATA,"North Wazirstan Mirali Military
 checkpost ",Military,High,Open,None,Military,None,0.0,2.0,0.0,2,1.0,0 Kg,Unknown,29.01,84.218,,,,2,1,2
,6 SHa`baan 1428 A.H,Holiday,Weekend,Unknown,Bannu,32.9861,70.6042,KPK,Bannu Police Check post ,Police,High,Open,None,Police,None,0.0,1.0,0.0,4,1.0,0 Kg,Unknown,29.965,85.937,,,,2,1,2
,7 SHa`baan 1428 A.H,Working Day,No Info,9:00:00 AM,Hangu,33.5351,71.0713,KPK,"Checkpost on thall-parachinar road/kurram road
 mandori village ",Military,High,Open,None,Military,None,3.0,7.0,14.0,18,1.0,0 Kg,1.Nawagai hospital ,27.195,80.951,,,,2,1,-1
,11 SHa`baan 1428 A.H,Working Day,No Info,Unknown,North Waziristan,32.9746,70.1456,FATA,miranshah Military convoys ,Mobile,High,Open,military convoy,Military,None,6.0,7.0,22.0,37,2.0,0 Kg,1.Bannu Hospital ,28.365,83.057,,,,4,1,-1
,13 SHa`baan 1428 A.H,Holiday,Weekend,Unknown,Shangla ,34.8015,72.757,KPK,Machaar area of Shangla District ,Police,High,Open,None,police,None,0.0,4.0,0.0,2,1.0,0 Kg,Unknown,27.475,81.455,,,,2,1,5
,19 SHa`baan 1428 A.H,Working Day,No Info,10:00:00 AM,Bajaur Agency,34.8718,71.5249,FATA,Truck carrying security personeel was attacked in Mamond area,Mobile,High,Open,truck carrying security personnel,Military,None,3.0,7.0,4.0,9,1.0,0 Kg,"1.Agency Headquarters 
hospital ",28.84,83.912,,,,2,1,-1
,19 SHa`baan 1428 A.H,Working Day,No Info,Unknown,South Waziristan,32.3202,69.8597,FATA,check-post of the troops in the Jandola area of South Waziristan.,Military,High,Closed,None,Military,None,0.0,0.0,0.0,0,1.0,0 Kg,Unknown,29.58,85.244,,,,2,1,7
,22 SHa`baan 1428 A.H,Working Day,No Info,7:15:00 AM,Rawalpindi,33.6058,73.0437,Punjab,1.Qasim Market Defence Ministry Bus,Mobile,High,Open,None,Military,None,18.0,25.0,0.0,0,2.0,0 Kg,"1.District Headquarters Rwp
2.Rwp General Hospital",27.15,80.87,,,,2,1,-1
,22 SHa`baan 1428 A.H,Working Day,No Info,7:15:00 AM,Rawalpindi,33.6058,73.0437,Punjab,Near R.A Bazar behind general Headquarters ,Market,Low,Open,None,Military,None,0.0,7.0,0.0,0,1.0,0 Kg,"1.District Headquarters Rwp
2.Rwp General Hospital",27.15,80.87,,,,2,1,8
,29 SHa`baan 1428 A.H,Working Day,No Info,Unknown,D.I Khan,31.8238,70.9095,KPK,Passanger van at Bannu adda/chungi,Mobile,Low,Open,None,Civilian,None,17.0,19.0,16.0,19,1.0,0 Kg,"DI Khan Headquarter
 hospital ",30.815,87.467,,,,2,1,-1
,1 RamaDHaan 1428 A.H,Working Day,No Info,7:15:00 PM,Haripur,34.0011,72.9372,KPK,army officers mess in Tarbela ghazi,Military,High,Closed, military convoy,Military,None,15.0,20.0,11.0,46,1.0,0 Kg,"1.Wapda Hospital    2.CMH Pindi 
3.CMH Attock ",26.975,80.555,,,,2,1,-1
,10 RamaDHaan 1428 A.H,Working Day,No Info,2:00:00 AM,Tank,32.226,70.3761,KPK,military convoy going from Tank,Mobile,High,Open, ,Military,None,0.0,5.0,3.0,10,1.0,0 Kg,Unknown,24.705,76.469,,,,2,1,-1
,19 RamaDHaan 1428 A.H,Working Day,No Info,8:30:00 AM,bannu,32.9861,70.6042,KPK,checkpost near Dawa bridge/Durani Abshar Chowk,Police,High,Open,None,police,None,0.0,16.0,29.0,32,1.0,0 Kg,"1.District Headquartar 
Hospital ",24.57,76.226,,,,4,1,-1
,6 SHawwal 1428 A.H,Working Day,No Info,12:00 mid night,karachi ,24.9918,66.9911,Sindh,"Benazir Survives midnight 
carnage Karsaz bridge Sharea Faisal",Mobile,High,Open,Rally ppp,Government Official,None,125.0,145.0,100.0,550,2.0,0 Kg,"1.Jinnah Hospital 
2.Liaquat hospital ",28.025,82.445,,,,1,-1,-1
,13 SHawwal 1428 A.H,Working Day,No Info,2:45:00 PM,Swat,35.2227,72.4258,KPK,Mingora Police Line ,Mobile,High,Open,None,Military,None,20.0,38.0,28.0,35,1.0,0 Kg,1.Saidu Shrif hospital ,21.025,69.845,,,,4,1,-1
,18 SHawwal 1428 A.H,Working Day,No Info,11:50:00 AM,Rawalpindi,33.6058,73.0437,Punjab,"Rawalpindi police checkpoint 
security zone",Police,High,Open,None,Military,None,7.0,8.0,18.0,31,1.0,0 Kg,1.CMH 2.Civil hospital,20.905,69.629,,,,2,1,-1
,20 SHawwal 1428 A.H,Working Day,No Info,7:10:00 AM,Sargodha,32.0791,72.6718,Punjab,PAF Bus on faisalabad road-Sargodha ,Mobile,High,Open,PAF Bus,Military,None,8.0,10.0,27.0,40,1.0,10 kg ,"1.PAF Sargodha 
2.CMH Rwp",20.82,69.476,,,,4,1,-1
,28 SHawwal 1428 A.H,Holiday,Iqbal Day,4:15:00 PM,Peshawar,34.0043,71.5448,KPK,"Peshawar  Federal minister 
political amir muqam house",Residence,Low,Closed,Political Affairs meeting,Government Official,None,3.0,4.0,2.0,5,1.0,5 to 6 Kg,1.Hayatabad Medical Complex,19.445,67.001,,,,2,1,-1
,14 Thw al-Qi`dah 1428 A.H,Working Day,No Info,7:40:00 AM,Rawalpindi,33.6058,73.0437,Punjab,Bus carrying ISI officals parked outside Hamza Camp faizabad ,Mobile,High,Open,Hamza camp,Military,None,17.0,38.0,0.0,35,1.0,0 Kg,"1.Military Hospital 
2.Rawalpindi hospital ",15.555,59.999,,,,2,1,-1
,14 Thw al-Qi`dah 1428 A.H,Working Day,No Info,7:50:00 AM,Rawalpindi,33.6058,73.0437,Punjab,GHQ,Military,High,Open,None,Military,None,0.0,1.0,2.0,5,1.0,0 Kg,Unknown,15.555,59.999,,,,2,1,-1
,24 Thw al-Qi`dah 1428 A.H,Working Day,No Info,Unknown,Peshawar,34.0043,71.5448,KPK,Checkpost high-security cantonment area babar road,Military,High,Open,None,Military,None,0.0,1.0,0.0,0,1.0,0 Kg,Unknown,14.73,58.514,,,,2,1,5
,29 Thw al-Qi`dah 1428 A.H,Holiday,Weekend,11:15:00 AM/12:30 PM,Swat,35.2227,72.4258,KPK,Ningolai Security checkpost,Police,High,Open,None,Police,None,10.0,13.0,0.0,2,1.0,10 to 15 kg,Unknown,11.925,53.465,,,,2,1,-1
,30 Thw al-Qi`dah 1428 A.H,Working Day,No Info,7:24:00 AM/7:30AM,Attock ,33.7645,72.3667,Punjab,Truck carrying school children near Fauji gate Pakistan Aeranautical Complex,Mobile,Low,Open,None,Children/Women,None,0.0,0.0,7.0,22,1.0,0 Kg,1.CMH Rwp,12.13,53.834,,,,2,1,-1
,3 Thw al-Hijjah 1428 A.H,Working Day,No Info,4:50:00 PM,Quetta ,30.2095,67.0182,Baluchistan,military Checkpost ,Military,High,Open,None,Military,None,5.0,12.0,22.0,23,2.0,0 Kg,1.CMH hospital ,4.16,39.488,,,,4,1,-1
,5 Thw al-Hijjah 1428 A.H,Working Day,No Info,9:25:00 AM,Nowshehra,34.0322,73.0944,KPK,Noshera security check post,Military,High,Open,None,Military,None,5.0,6.0,11.0,20,1.0,0 Kg,1.CMH Nowshera,9.515,49.127,,,,2,1,-1
,7 Thw al-Hijjah 1428 A.H,Working Day,No Info,12:30:00 PM,Kohat,33.5833,71.4333,KPK,kohat cantt-fountain round about-near army public school,Military,High,Open,recruits returning to barracks after morning exercise,Military,None,0.0,12.0,2.0,5,1.0,more than 5Kg,Combine Military hospital,11.345,52.421,,,,2,1,9
,13 Thw al-Hijjah 1428 A.H,Holiday,Eid-ul-azha,Unknown,Charsadda ,34.1509,71.7359,KPK,Charsadda Jamiya Masjid ,Religious,Medium,Closed,Masjid,Civilian,Sunni,0.0,60.0,0.0,200,1.0,5 to 6 kg,Unknown,15.0,59.0,,,,2,1,5
,13 Thw al-Hijjah 1428 A.H,Holiday,Weekend,6:00:00 PM,Swat,35.2227,72.4258,KPK,military convoy hit in mingora,Mobile,High,Open,None,Military,None,9.0,14.0,0.0,23,1.0,0 Kg,Unknown,12.76,54.968,,,,2,1,-1
,17 Thw al-Hijjah 1428 A.H,Working Day,No Info,5:10:00 PM,Rawalpindi,33.6058,73.0437,Punjab,Rawalpindi Liaquat Bagh Park,Park/Ground,Low,Open,attack on Benazir Bhutto,Government official,None,21.0,30.0,48.0,70,1.0,0 Kg,Rawalpindi General hospital,10.21,50.378,,,,4,1,-1
,28 Thw al-Hijjah 1428 A.H,Working Day,No Info,11:15:00 AM,Swat,35.2227,72.4258,KPK,infront of frontier house kabal,Military,High,Open,Security forces ,Military,None,0.0,15.253138075313808,12.0,13,1.0,0 Kg,Unknown,6.77,44.186,,,,2,1,-1
,1 MuHarram 1429 A.H,Working Day,No Info,11:40:00 AM,Lahore ,31.5451,74.3407,Punjab,Lahore High court ,Government,High,Open,lawyers protest rally was about to start. All of them were present inside the court. Bomber targeted the police officials outside the court,Police,None,24.0,26.0,73.0,80,1.0,15 kg,1.Mayo-Ganga ram hospital ,13.89,57.002,,,,1,1,-1
,6 MuHarram 1429 A.H,Working Day,No Info,10:30:00 AM,Mohmand agency,32.9746,70.1456,FATA,checkpoint of security forces in Khapakh Kando near Ghalanai,Military,High,Open,Frontier Constabulary,Military,None,1.0,1.0,0.0,0,1.0,0 Kg,Ghalani hospital ,5.145,41.261,,,,2,1,-1
,8 MuHarram 1429 A.H,Working Day,No Info,6:00:00 PM/6:55PM,Peshawar,34.0043,71.5448,KPK,Mirza Qasim baig Imambargah Jangi Mohallah-kohati,Religious,Medium,Closed,Imambargah,Religious,shiite,10.0,12.0,0.0,25,1.0,3 kg explosive and 3kg ball bearings,1.Lady Reading hospital ,12.34,54.212,,,,2,1,-1
,23 MuHarram 1429 A.H,Working Day,No Info,4:30:00 PM,North Waziristan,32.9746,70.1456,FATA,Kajhori checkpost north waziristan,Police,High,Open,Checkpost ,Police,None,5.0,7.0,13.0,15,1.0,0 Kg,1.CMH bannu 2.MH Bannu,2.475,36.455,,,,2,1,-1
,26 MuHarram 1429 A.H.,Working Day,No Info,7:24:00 AM/7:25AM/7:30 AM,Rawalpindi,33.6058,73.0437,Punjab,Infront of NLC office near GHQ Rwp,Mobile,High,Open,bus carrying students and officials of army medical college-,Military,None,8.0,10.0,27.0,47,1.0,6-7kg,1.CMH 2.MH 3. DHQ,8.42,47.156,,,,4,1,-1
,27 MuHarram 1429 A.H,Working Day,No Info,NA ,Quetta ,30.2095,67.0182,Baluchistan,Quetta Khilji Conlony,Park/Ground,Low,Open,Khilji colony,Civilian,None,0.0,1.0,0.0,1,1.0,0 Kg,Unknown,-2.37,27.734,,,,2,1,-1
,2 safar 1429 A.H.,Working Day,No Info,NA ,Charsadda ,34.1509,71.7359,KPK,Nakai in charsadda,Residence,Low,Closed,Awami National Party meeting was in progress,Government Official,None,25.0,27.0,35.0,51,1.0,0 Kg,1.Lady Reading Hospital 2. DHQ charsadda,7.935,46.283,,,,4,1,-1
